family,recordId,field,hasValue,stageReady
dd_routing,california|dd_routing|dds-employment|work_services|d5439816263731e5e2594512aee2d0a0cd99966e1556c011a7ec6507ffa65aa2,supportingText,1,1
dd_routing,california|dd_routing|dds-employment|work_services|d5439816263731e5e2594512aee2d0a0cd99966e1556c011a7ec6507ffa65aa2,supportingPageLocation,1,1
dd_routing,california|dd_routing|dds-employment|job_seeker_and_family_resources|d0c1597758c915c85d724798f47d503e324cd2b974a188f5debee9824e3e71f5,authority,1,1
dd_routing,california|dd_routing|dds-employment|job_seeker_and_family_resources|d0c1597758c915c85d724798f47d503e324cd2b974a188f5debee9824e3e71f5,agency,1,1
dd_routing,california|dd_routing|dds-employment|job_seeker_and_family_resources|d0c1597758c915c85d724798f47d503e324cd2b974a188f5debee9824e3e71f5,provenanceUrl,1,1
dd_routing,california|dd_routing|dds-employment|job_seeker_and_family_resources|d0c1597758c915c85d724798f47d503e324cd2b974a188f5debee9824e3e71f5,sourceRole,1,1
dd_routing,california|dd_routing|dds-employment|job_seeker_and_family_resources|d0c1597758c915c85d724798f47d503e324cd2b974a188f5debee9824e3e71f5,sourceUrl,1,1
dd_routing,california|dd_routing|dds-employment|job_seeker_and_family_resources|d0c1597758c915c85d724798f47d503e324cd2b974a188f5debee9824e3e71f5,finalUrl,1,1
dd_routing,california|dd_routing|dds-employment|job_seeker_and_family_resources|d0c1597758c915c85d724798f47d503e324cd2b974a188f5debee9824e3e71f5,artifactPath,1,1
dd_routing,california|dd_routing|dds-employment|job_seeker_and_family_resources|d0c1597758c915c85d724798f47d503e324cd2b974a188f5debee9824e3e71f5,sha256,1,1
dd_routing,california|dd_routing|dds-employment|job_seeker_and_family_resources|d0c1597758c915c85d724798f47d503e324cd2b974a188f5debee9824e3e71f5,fetchedAt,1,1
dd_routing,california|dd_routing|dds-employment|job_seeker_and_family_resources|d0c1597758c915c85d724798f47d503e324cd2b974a188f5debee9824e3e71f5,supportingText,1,1
dd_routing,california|dd_routing|dds-employment|job_seeker_and_family_resources|d0c1597758c915c85d724798f47d503e324cd2b974a188f5debee9824e3e71f5,supportingPageLocation,1,1
dd_routing,california|dd_routing|alta-california-regional-center|regional_center_root_from_dds_directory|ad280c83bd6e87293efe4f652db337c52b647071a932fbaf48c871e40fcd3175,authority,1,1
