Found 2244 usages of dead/stale URLs:
Table: school_districts          | Column: source_url   | ID: sd-belton-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-san-antonio-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-johnson-city-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-gail-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-meridian-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-texarkana-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-angleton-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-bryan-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-alpine-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-silverton-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-falfurrias-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-brownwood-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-caldwell-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-burnet-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-lockhart-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-port-lavaca-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-baird-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-brownsville-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-pittsburg-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-panhandle-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-linden-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-dimmitt-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-anahuac-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-rusk-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-childress-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-henrietta-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-morton-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
